,,Antwerpen,BrabantWallon,Brussels,Hainaut,Limburg,Liège,Luxembourg,Namur,OostVlaanderen,VlaamsBrabant,WestVlaanderen
481,2021-07-09,2,0,4,4,0,2,0,0,5,1,2
482,2021-07-10,4,0,4,1,1,2,0,0,1,2,1
483,2021-07-11,1,0,3,4,3,0,0,0,0,0,1
484,2021-07-12,4,0,2,2,0,0,1,1,0,2,3
485,2021-07-13,3,1,10,5,0,2,0,0,2,3,2
486,2021-07-14,1,1,7,5,2,1,1,0,1,2,1
487,2021-07-15,5,1,8,2,0,3,1,1,1,4,3
488,2021-07-16,4,1,7,8,0,1,1,1,2,0,2
489,2021-07-17,6,0,8,4,0,1,0,2,4,0,3
490,2021-07-18,1,0,8,2,0,2,1,0,1,1,4
491,2021-07-19,7,1,8,1,1,1,1,1,1,3,2
492,2021-07-20,6,2,6,5,0,2,0,1,5,1,2
493,2021-07-21,5,0,4,2,3,1,1,1,8,2,1
494,2021-07-22,5,0,8,5,0,3,0,0,1,4,2
495,2021-07-23,3,0,6,5,0,3,0,0,8,1,1
496,2021-07-24,8,1,10,3,2,2,0,0,4,2,2
497,2021-07-25,4,0,7,4,3,1,0,0,2,3,3
498,2021-07-26,3,0,7,3,2,1,0,1,5,1,2
499,2021-07-27,9,0,10,5,1,4,1,0,4,2,3
500,2021-07-28,4,0,15,4,2,3,1,1,2,6,5
501,2021-07-29,6,0,15,7,2,2,0,1,1,0,3
502,2021-07-30,2,1,8,6,1,0,0,1,3,2,3
503,2021-07-31,5,0,10,6,3,2,1,1,5,1,8
504,2021-08-01,11,2,6,3,0,1,0,2,3,2,8
505,2021-08-02,9,0,8,6,4,6,2,0,1,3,2
506,2021-08-03,12,0,6,8,1,4,1,1,3,4,4
507,2021-08-04,8,0,11,8,1,4,1,0,2,1,4
508,2021-08-05,6,0,11,4,3,1,0,0,3,6,4
509,2021-08-06,5,0,11,3,3,8,0,2,2,1,8
510,2021-08-07,11,3,18,7,2,3,0,0,3,1,4
511,2021-08-08,8,1,12,3,0,5,0,0,8,3,5
512,2021-08-09,7,1,18,4,3,3,1,1,4,2,7
513,2021-08-10,12,1,18,5,2,11,1,3,2,1,8
514,2021-08-11,3,0,13,7,3,7,1,0,8,0,3
515,2021-08-12,11,0,8,16,1,8,2,0,6,2,4
516,2021-08-13,13,0,17,14,4,6,0,1,5,2,4
517,2021-08-14,8,2,18,6,1,3,1,1,8,2,3
518,2021-08-15,3,0,16,9,1,6,1,1,4,0,6
519,2021-08-16,9,1,15,5,2,2,2,3,5,3,2
520,2021-08-17,15,1,26,5,4,13,1,0,8,2,9
521,2021-08-18,13,0,17,3,2,12,1,4,6,5,3
522,2021-08-19,9,1,16,11,4,8,0,3,4,3,1
523,2021-08-20,9,0,17,3,1,7,1,1,3,0,7
524,2021-08-21,12,0,17,3,8,8,1,1,4,3,3
525,2021-08-22,8,1,17,0,1,7,2,1,4,2,4
526,2021-08-23,5,2,12,13,2,9,1,1,6,3,5
527,2021-08-24,17,0,15,6,3,8,3,3,7,1,11
528,2021-08-25,10,0,14,7,2,6,0,0,13,3,2
529,2021-08-26,8,2,20,6,4,6,1,0,5,2,3
530,2021-08-27,10,0,17,4,5,6,0,1,9,1,5
531,2021-08-28,11,1,15,12,3,14,0,2,4,2,5
532,2021-08-29,4,1,11,7,3,13,0,1,3,1,3
533,2021-08-30,10,0,13,9,4,6,2,1,7,1,5
534,2021-08-31,9,1,22,10,4,17,0,4,8,4,4
535,2021-09-01,7,1,25,6,5,14,0,1,3,1,3
536,2021-09-02,17,0,21,8,3,11,1,3,5,2,3
537,2021-09-03,9,2,10,12,3,8,2,4,10,1,5
538,2021-09-04,13,2,25,5,4,9,3,1,8,2,8
539,2021-09-05,9,0,17,4,3,15,0,1,3,1,3
540,2021-09-06,6,0,22,10,4,13,1,1,7,1,1
541,2021-09-07,10,0,29,12,2,14,1,5,3,5,1
542,2021-09-08,10,1,24,10,3,6,0,1,5,1,3
543,2021-09-09,11,0,20,9,2,8,0,1,7,3,3
544,2021-09-10,12,3,14,9,0,8,0,3,7,0,5
545,2021-09-11,6,1,14,2,2,9,5,1,1,2,4
546,2021-09-12,9,0,11,4,3,8,0,2,2,2,1
547,2021-09-13,7,0,16,4,5,12,0,2,2,2,8
548,2021-09-14,8,4,29,7,3,17,1,0,4,0,4
549,2021-09-15,8,0,10,13,2,9,0,3,8,4,5
550,2021-09-16,10,0,27,4,3,15,2,1,7,2,6
551,2021-09-17,3,1,18,10,2,8,3,0,2,2,7
552,2021-09-18,13,2,9,6,2,11,1,1,3,3,6
553,2021-09-19,10,2,8,1,0,12,1,1,1,5,2
554,2021-09-20,8,1,17,3,2,5,1,0,5,3,1
555,2021-09-21,5,0,18,9,2,16,0,0,3,2,5
556,2021-09-22,8,2,13,9,6,8,1,1,6,0,7
557,2021-09-23,10,2,15,14,4,7,1,0,7,1,4
558,2021-09-24,4,1,8,5,0,6,0,3,2,3,0
559,2021-09-25,6,2,12,1,2,13,1,2,3,2,8
560,2021-09-26,6,0,11,5,1,10,1,1,2,0,2
561,2021-09-27,7,0,13,8,1,16,1,3,1,2,3
562,2021-09-28,6,0,18,14,0,11,2,6,5,3,7
563,2021-09-29,12,2,16,4,4,8,1,2,8,5,4
564,2021-09-30,5,0,16,11,5,14,3,1,3,1,5
565,2021-10-01,10,0,13,6,8,15,1,1,2,3,3
566,2021-10-02,11,2,21,3,4,12,0,2,5,0,3
567,2021-10-03,4,0,23,2,0,6,1,3,0,2,3
568,2021-10-04,8,2,8,7,0,8,4,1,3,0,1
569,2021-10-05,5,1,19,13,2,19,0,1,6,2,7
570,2021-10-06,9,1,18,12,0,8,1,2,6,1,4
571,2021-10-07,6,1,15,7,1,11,1,2,2,7,1
572,2021-10-08,13,1,10,12,1,9,4,1,3,2,8
573,2021-10-09,9,0,12,9,3,12,0,1,2,3,2
574,2021-10-10,8,0,10,5,1,5,2,0,5,3,2
575,2021-10-11,12,2,10,6,1,7,1,2,4,1,4
576,2021-10-12,12,1,15,4,4,9,4,1,6,5,9
577,2021-10-13,11,3,14,7,3,14,0,4,4,2,8
578,2021-10-14,12,1,9,9,2,16,4,4,5,5,11
579,2021-10-15,7,0,13,4,3,15,3,1,4,3,8
580,2021-10-16,12,3,18,7,5,27,0,3,6,7,9
581,2021-10-17,10,2,7,13,3,6,3,3,8,1,3
582,2021-10-18,13,0,18,9,8,4,9,2,10,3,6
583,2021-10-19,17,2,12,16,6,22,3,0,6,5,18
584,2021-10-20,17,2,23,15,8,17,1,4,24,3,16
585,2021-10-21,12,3,23,14,7,23,2,2,6,5,24
586,2021-10-22,19,2,19,25,6,15,3,2,6,8,21
587,2021-10-23,11,6,24,9,6,17,5,4,11,4,17
588,2021-10-24,6,0,21,8,4,18,4,6,7,4,16
589,2021-10-25,15,3,19,12,13,21,8,3,11,4,13
590,2021-10-26,18,0,24,23,15,21,6,3,21,8,19
591,2021-10-27,26,3,26,17,9,26,4,3,15,4,25
592,2021-10-28,19,3,14,23,6,26,2,6,11,10,30
593,2021-10-29,20,4,30,21,11,30,3,6,20,5,35
594,2021-10-30,24,0,24,18,12,38,5,9,24,9,24
595,2021-10-31,16,2,9,14,9,23,3,7,5,1,23
596,2021-11-01,20,1,14,15,13,11,2,5,11,8,25
597,2021-11-02,22,4,25,17,9,32,6,2,12,12,27
598,2021-11-03,31,3,32,25,13,29,4,10,30,6,54
599,2021-11-04,32,2,22,33,10,27,4,7,20,11,33
600,2021-11-05,32,6,20,10,9,29,4,3,15,11,40
601,2021-11-06,30,1,32,20,12,24,2,3,20,7,27
602,2021-11-07,23,2,20,15,21,17,3,4,15,9,25
603,2021-11-08,27,2,20,23,11,24,4,3,21,15,25
604,2021-11-09,48,5,27,22,13,41,8,6,28,17,45
605,2021-11-10,46,1,33,39,22,41,3,10,33,14,49
606,2021-11-11,25,3,23,28,16,32,11,8,23,13,45
607,2021-11-12,22,5,15,12,20,39,2,4,19,13,26
608,2021-11-13,33,4,24,46,28,32,5,11,21,21,58
609,2021-11-14,35,3,21,27,21,25,5,6,28,8,30
610,2021-11-15,33,1,23,26,18,28,9,6,28,9,28
611,2021-11-16,52,4,40,37,25,34,11,4,26,15,40
612,2021-11-17,40,6,25,34,22,53,6,20,50,13,49
613,2021-11-18,43,6,33,35,25,47,6,8,39,13,40
614,2021-11-19,38,5,34,35,34,38,9,10,42,10,57
615,2021-11-20,32,4,27,32,45,25,8,8,50,9,54
616,2021-11-21,39,3,29,30,16,27,2,4,42,10,49
617,2021-11-22,28,4,25,33,27,29,4,7,33,14,39
618,2021-11-23,56,2,48,34,40,40,9,8,56,18,58
619,2021-11-24,48,5,31,35,34,42,7,16,49,11,66
620,2021-11-25,45,6,30,37,34,47,7,11,68,16,53
621,2021-11-26,58,3,34,28,31,31,6,9,48,19,56
622,2021-11-27,36,5,34,30,34,40,4,13,58,22,46
623,2021-11-28,54,6,15,24,11,24,4,4,46,17,40
624,2021-11-29,53,2,28,31,19,23,5,9,45,25,37
625,2021-11-30,67,6,33,41,31,49,6,14,49,16,74
626,2021-12-01,48,3,36,35,22,42,10,13,66,19,56
627,2021-12-02,50,4,32,36,25,42,5,6,40,34,51
628,2021-12-03,40,5,31,39,26,42,8,14,42,18,33
629,2021-12-04,52,3,34,28,36,27,6,7,58,12,49
630,2021-12-05,31,1,29,27,20,19,13,7,40,14,25
631,2021-12-06,32,4,20,25,20,18,5,7,32,11,34
632,2021-12-07,62,3,40,47,19,32,4,13,46,12,54
633,2021-12-08,58,5,24,39,19,32,5,13,42,15,43
634,2021-12-09,37,7,34,31,22,38,7,20,46,15,52
635,2021-12-10,41,3,35,39,17,33,2,21,44,12,45
636,2021-12-11,34,4,38,42,17,32,1,20,39,11,27
637,2021-12-12,20,0,21,27,15,16,4,28,24,10,42
638,2021-12-13,15,1,28,29,15,28,2,6,22,14,26
639,2021-12-14,48,6,49,36,11,28,9,14,27,12,48
640,2021-12-15,32,1,31,31,17,27,3,10,33,11,35
641,2021-12-16,24,1,24,18,16,25,5,8,23,17,25
642,2021-12-17,26,4,31,18,17,15,3,6,26,8,25
643,2021-12-18,26,0,33,24,15,22,4,3,22,4,22
644,2021-12-19,18,1,24,19,10,16,4,7,11,4,16
645,2021-12-20,18,2,27,27,7,15,2,9,10,7,17
646,2021-12-21,30,1,23,27,5,20,1,5,20,7,32
647,2021-12-22,23,3,28,17,8,22,4,7,25,5,28
648,2021-12-23,19,0,25,30,4,14,2,9,17,9,17
649,2021-12-24,21,4,21,21,4,16,1,5,13,3,16
650,2021-12-25,16,3,31,22,10,20,0,5,9,2,16
651,2021-12-26,5,1,15,21,7,20,1,4,12,6,17
652,2021-12-27,17,1,16,11,5,10,1,2,16,4,12
653,2021-12-28,22,3,36,26,14,14,1,8,18,5,22
654,2021-12-29,11,0,26,22,13,20,3,5,24,6,16
655,2021-12-30,18,4,28,23,15,25,2,2,21,4,22
656,2021-12-31,14,2,37,21,9,30,2,8,13,10,13
657,2022-01-01,16,0,30,23,11,18,2,8,17,9,20
658,2022-01-02,20,3,40,21,5,19,2,6,16,2,16
659,2022-01-03,22,1,31,23,9,14,5,5,18,6,17
660,2022-01-04,25,2,54,23,5,34,6,8,22,19,19
661,2022-01-05,21,3,52,36,10,19,3,7,18,4,18
662,2022-01-06,17,1,44,32,6,28,3,6,12,5,26
663,2022-01-07,32,2,42,26,5,24,2,7,16,9,24
664,2022-01-08,17,2,47,31,11,27,6,10,22,12,16
665,2022-01-09,21,4,35,24,5,20,2,6,21,6,12
666,2022-01-10,18,2,35,21,3,17,2,4,15,8,15
667,2022-01-11,27,5,42,35,11,19,0,6,22,11,21
668,2022-01-12,35,1,46,29,4,31,0,3,17,16,27
669,2022-01-13,27,0,40,26,6,29,1,5,26,7,22
670,2022-01-14,34,3,49,33,14,32,2,2,25,12,28
671,2022-01-15,36,1,41,40,13,28,3,4,33,32,35
672,2022-01-16,19,2,24,32,12,22,3,8,14,6,21
673,2022-01-17,27,4,30,21,6,24,4,2,19,9,30
674,2022-01-18,50,3,59,54,19,29,1,7,30,12,32
675,2022-01-19,45,3,55,37,20,59,1,8,37,14,31
676,2022-01-20,45,6,64,48,22,26,1,9,56,18,51
677,2022-01-21,40,9,57,47,26,43,9,11,41,8,53
678,2022-01-22,52,2,43,55,15,31,3,8,52,12,45
679,2022-01-23,52,1,41,47,17,34,3,6,34,5,38
680,2022-01-24,56,1,48,35,20,52,4,11,33,13,36
681,2022-01-25,60,5,63,66,29,54,1,7,59,21,48
682,2022-01-26,50,6,48,44,26,49,7,14,38,11,54
683,2022-01-27,60,2,50,53,32,61,6,13,58,16,61
684,2022-01-28,77,3,53,54,32,49,2,9,57,14,67
685,2022-01-29,62,8,41,56,24,41,5,18,52,6,47
686,2022-01-30,47,5,32,34,15,33,4,11,30,13,41
687,2022-01-31,48,2,33,43,22,57,5,11,47,19,48
688,2022-02-01,84,6,47,61,32,50,7,11,41,22,63
689,2022-02-02,62,4,44,56,22,47,5,15,45,13,50
690,2022-02-03,62,5,38,43,25,48,5,17,62,20,66
691,2022-02-04,67,11,43,54,21,32,3,7,43,13,44
692,2022-02-05,38,5,33,43,31,48,5,13,40,12,39
693,2022-02-06,57,6,30,36,24,36,2,10,36,13,36
694,2022-02-07,53,1,37,32,25,45,5,8,38,15,35
695,2022-02-08,36,2,23,55,21,34,6,15,51,7,51
696,2022-02-09,48,3,34,41,17,35,7,14,43,22,31
697,2022-02-10,44,5,26,41,31,25,6,8,35,7,35
698,2022-02-11,62,1,43,46,28,41,1,12,44,9,34
699,2022-02-12,34,4,33,42,19,36,3,8,34,15,54
700,2022-02-13,32,4,16,25,19,29,8,6,26,9,28
701,2022-02-14,35,2,14,19,15,17,2,5,18,3,30
702,2022-02-15,63,4,29,43,28,37,5,5,37,9,43
703,2022-02-16,42,1,31,28,20,35,6,8,31,5,35
704,2022-02-17,44,2,21,24,20,34,2,8,24,4,30
705,2022-02-18,39,0,24,27,20,26,7,2,22,6,27
706,2022-02-19,37,1,15,30,20,21,2,14,38,5,19
707,2022-02-20,26,2,10,14,17,20,2,7,25,7,18
708,2022-02-21,31,2,11,17,9,24,3,3,24,7,29
709,2022-02-22,39,1,14,20,15,12,2,6,36,9,40
710,2022-02-23,36,2,19,18,13,21,5,6,37,10,19
711,2022-02-24,35,0,15,23,8,23,2,2,25,4,29
712,2022-02-25,31,0,9,14,8,18,4,5,28,6,25
713,2022-02-26,12,0,9,13,13,16,0,6,21,8,16
714,2022-02-27,11,0,11,8,7,14,4,1,11,3,13
715,2022-02-28,19,1,13,4,8,14,4,7,11,4,27
716,2022-03-01,24,2,17,23,15,18,5,5,27,8,16
717,2022-03-02,34,0,19,20,17,19,0,3,24,4,28
718,2022-03-03,22,1,10,19,12,16,1,1,25,5,32
719,2022-03-04,32,2,21,9,14,22,0,4,25,5,17
720,2022-03-05,19,2,16,14,15,9,4,1,22,5,22
721,2022-03-06,22,0,9,13,16,11,2,3,17,4,24
722,2022-03-07,29,0,13,8,9,14,1,3,16,6,17
723,2022-03-08,37,0,18,16,10,13,1,1,46,8,24
724,2022-03-09,49,0,10,16,10,18,0,3,29,10,17
725,2022-03-10,33,0,13,13,6,15,0,4,31,7,28
726,2022-03-11,38,1,9,11,26,9,2,1,35,9,19
727,2022-03-12,30,0,15,15,15,11,2,0,33,12,27
728,2022-03-13,18,1,4,4,10,7,2,2,27,9,18
729,2022-03-14,32,0,16,18,11,11,1,4,38,10,21
730,2022-03-15,43,0,13,12,21,21,2,2,36,14,36
731,2022-03-16,42,2,19,13,25,17,2,1,38,4,27
732,2022-03-17,36,1,17,14,12,12,2,5,25,8,37
733,2022-03-18,37,1,16,15,13,22,0,7,40,14,39
734,2022-03-19,30,0,15,10,23,10,1,3,34,10,22
735,2022-03-20,29,0,6,9,17,12,1,0,28,10,31
736,2022-03-21,33,0,12,9,4,13,2,10,33,7,22
737,2022-03-22,52,3,13,17,23,20,1,6,47,9,40
738,2022-03-23,40,1,10,16,20,18,5,6,32,20,66
739,2022-03-24,40,1,15,12,31,3,0,8,34,8,57
740,2022-03-25,40,2,14,15,26,16,2,4,48,23,34
741,2022-03-26,41,2,15,7,25,19,0,2,41,8,42
742,2022-03-27,36,0,9,7,25,6,0,5,35,9,41
743,2022-03-28,33,0,10,15,25,10,1,3,36,10,37
744,2022-03-29,41,2,32,15,27,17,1,11,34,17,64
745,2022-03-30,44,1,20,18,23,13,0,10,47,15,45
746,2022-03-31,53,2,30,27,23,20,2,12,40,7,52
747,2022-04-01,49,4,21,11,19,15,2,6,39,18,48
748,2022-04-02,31,0,24,17,22,12,1,0,44,19,29
749,2022-04-03,29,0,11,14,20,8,3,2,28,3,41
750,2022-04-04,27,0,19,8,11,14,1,7,33,12,25
751,2022-04-05,54,2,25,29,35,51,2,2,44,10,50
752,2022-04-06,38,2,30,16,21,15,0,12,45,9,29
753,2022-04-07,40,2,19,17,19,31,1,7,41,16,51
754,2022-04-08,36,8,27,13,25,27,1,3,48,9,35
755,2022-04-09,31,0,16,16,25,20,3,1,42,12,42
756,2022-04-10,32,3,11,5,8,15,1,5,35,2,33
757,2022-04-11,28,3,16,21,15,24,0,9,42,11,31
758,2022-04-12,52,5,34,17,16,42,2,7,48,9,42
759,2022-04-13,25,4,27,36,26,20,1,8,46,12,55
760,2022-04-14,34,6,23,17,27,26,1,12,35,8,53
761,2022-04-15,33,5,19,14,20,18,4,10,42,9,29
762,2022-04-16,29,2,22,21,27,22,1,6,28,10,34
763,2022-04-17,30,2,11,13,11,16,0,2,25,7,30
764,2022-04-18,24,1,13,7,18,17,0,6,31,5,23
765,2022-04-19,31,7,10,31,12,19,1,4,33,15,34
766,2022-04-20,30,4,16,18,24,26,2,3,56,9,34
767,2022-04-21,29,3,20,17,29,28,2,7,29,7,29
768,2022-04-22,36,3,16,16,11,18,1,8,39,7,42
769,2022-04-23,26,2,11,18,22,24,0,3,26,9,38
770,2022-04-24,19,2,7,13,13,12,0,4,21,7,15
771,2022-04-25,18,3,9,14,8,16,1,4,24,5,23
772,2022-04-26,40,1,18,21,17,22,2,8,28,8,29
773,2022-04-27,22,2,19,13,7,31,2,10,30,4,26
774,2022-04-28,26,2,20,10,12,17,4,7,31,8,14
775,2022-04-29,30,3,14,11,11,13,6,5,20,6,18
776,2022-04-30,22,1,10,18,8,24,1,1,30,6,17
777,2022-05-01,12,0,2,7,9,11,1,3,11,4,17
778,2022-05-02,23,1,16,6,12,17,0,4,17,3,11
779,2022-05-03,22,2,17,20,12,29,1,7,30,8,38
780,2022-05-04,21,6,21,14,10,13,1,10,21,4,4
781,2022-05-05,30,4,11,21,11,21,2,4,38,4,26
782,2022-05-06,18,1,11,16,15,8,3,4,18,4,22
783,2022-05-07,9,2,8,16,7,8,1,2,31,8,14
784,2022-05-08,12,1,10,5,4,11,1,2,23,2,9
785,2022-05-09,11,0,8,7,8,10,2,5,17,4,17
786,2022-05-10,23,5,21,21,8,20,2,6,36,12,18
787,2022-05-11,21,3,21,10,10,11,0,5,19,3,15
788,2022-05-12,12,3,14,10,8,17,0,8,15,1,13
789,2022-05-13,11,2,10,10,10,6,2,3,16,3,13
790,2022-05-14,9,0,9,14,4,12,0,4,16,4,14
791,2022-05-15,12,2,11,6,11,11,0,0,14,6,9
792,2022-05-16,13,0,4,9,10,15,0,5,7,1,10
793,2022-05-17,23,2,12,13,11,13,0,6,16,5,18
794,2022-05-18,7,1,13,14,6,11,0,4,12,6,18
795,2022-05-19,23,1,6,7,3,8,0,7,14,4,8
796,2022-05-20,13,2,10,11,9,12,0,4,8,1,21
797,2022-05-21,10,1,7,3,6,11,0,1,13,1,7
798,2022-05-22,6,0,8,5,3,9,0,2,13,0,5
799,2022-05-23,6,3,11,7,7,8,0,2,10,3,6
800,2022-05-24,13,0,11,12,7,11,0,4,18,5,12
801,2022-05-25,8,0,10,13,6,8,0,2,14,4,12
802,2022-05-26,13,2,9,5,5,8,0,2,15,5,5
803,2022-05-27,8,0,5,4,4,6,0,3,12,2,8
804,2022-05-28,9,0,3,3,2,11,0,3,12,2,13
805,2022-05-29,10,0,0,4,1,4,0,2,7,2,4
806,2022-05-30,4,0,3,3,1,4,0,5,8,5,5
807,2022-05-31,15,2,4,9,6,8,0,3,8,2,9
808,2022-06-01,13,3,5,13,4,12,0,2,1,2,6
809,2022-06-02,12,1,6,6,2,7,0,2,5,1,13
810,2022-06-03,11,3,10,4,2,7,0,7,4,3,3
811,2022-06-04,5,0,2,3,7,6,0,0,15,2,11
812,2022-06-05,11,0,1,4,1,8,0,0,5,2,5
813,2022-06-06,10,3,5,0,2,11,0,1,2,3,10
814,2022-06-07,13,0,7,7,1,8,0,2,13,2,6
815,2022-06-08,13,1,6,7,2,4,0,2,15,5,16
816,2022-06-09,11,3,9,9,8,3,0,1,14,2,8
817,2022-06-10,10,3,6,7,5,3,0,1,13,3,12
818,2022-06-11,4,0,9,10,3,5,0,1,16,1,12
819,2022-06-12,10,1,3,4,5,5,0,0,9,3,6
820,2022-06-13,16,0,4,6,3,4,0,2,5,2,15
821,2022-06-14,16,1,10,9,3,6,0,1,21,4,10
822,2022-06-15,17,1,8,5,6,9,0,0,17,1,14
823,2022-06-16,2,2,9,12,5,10,0,3,20,1,16
824,2022-06-17,10,0,7,7,2,5,0,1,9,1,19
825,2022-06-18,17,1,8,7,0,10,0,0,19,4,18
826,2022-06-19,13,1,10,6,2,4,0,1,9,4,21
827,2022-06-20,19,1,13,4,2,5,0,8,6,1,21
828,2022-06-21,18,1,23,8,3,18,0,2,26,8,23
829,2022-06-22,19,1,19,9,6,3,0,3,17,6,14
830,2022-06-23,11,4,13,11,8,10,0,3,17,3,15
831,2022-06-24,23,2,10,11,6,11,0,5,22,4,14
832,2022-06-25,15,2,10,6,5,16,0,3,24,6,25
833,2022-06-26,14,4,8,8,4,5,0,2,19,2,12
834,2022-06-27,18,3,14,10,1,7,0,8,18,4,11
835,2022-06-28,23,0,8,14,8,12,0,4,20,6,23
836,2022-06-29,26,1,18,9,2,11,0,8,29,7,19
837,2022-06-30,25,2,13,15,13,14,0,5,19,4,13
838,2022-07-01,28,1,14,19,1,7,0,3,24,8,28
839,2022-07-02,23,2,17,18,4,16,0,3,28,7,19
840,2022-07-03,24,1,14,3,9,14,0,2,20,2,14
841,2022-07-04,15,6,10,7,6,12,0,7,13,5,21
842,2022-07-05,27,4,22,30,11,14,0,3,30,7,25
843,2022-07-06,30,4,22,16,9,14,0,4,28,8,23
844,2022-07-07,34,2,27,15,14,18,0,1,22,7,28
845,2022-07-08,20,1,17,27,10,13,0,9,34,6,19
846,2022-07-09,25,4,11,13,5,14,0,2,29,1,24
847,2022-07-10,18,6,10,13,12,13,0,5,26,5,17
848,2022-07-11,21,4,15,9,16,13,0,12,27,9,14
849,2022-07-12,32,2,21,26,15,17,3,8,40,9,42
850,2022-07-13,23,2,25,21,11,25,2,7,23,5,15
851,2022-07-14,31,5,12,30,10,32,0,9,31,5,17
852,2022-07-15,28,6,21,14,15,18,1,6,21,10,16
853,2022-07-16,21,4,18,25,9,30,0,6,32,8,26
854,2022-07-17,28,1,11,18,12,26,0,7,15,6,17
855,2022-07-18,23,0,7,19,8,13,0,8,16,3,20
856,2022-07-19,25,2,15,29,13,20,3,6,35,4,31
857,2022-07-20,32,3,21,29,9,31,1,4,24,5,25
858,2022-07-21,19,3,15,15,12,31,0,7,37,6,21
859,2022-07-22,18,1,11,21,10,16,0,12,22,6,31
860,2022-07-23,17,3,18,9,13,32,0,16,33,3,22
861,2022-07-24,21,2,7,13,19,18,0,7,22,5,21
862,2022-07-25,21,3,13,17,11,24,0,20,17,6,17
863,2022-07-26,27,3,26,20,17,29,0,6,21,7,32
864,2022-07-27,27,2,14,12,11,14,2,6,18,5,19
865,2022-07-28,21,5,19,12,8,25,0,4,21,5,15
866,2022-07-29,20,2,13,6,11,11,2,6,19,1,15
867,2022-07-30,22,4,13,4,10,23,0,6,19,6,17
868,2022-07-31,14,1,13,7,5,15,0,3,22,2,19
869,2022-08-01,11,2,11,14,14,12,4,7,20,6,19
870,2022-08-02,22,1,18,13,7,23,2,9,34,6,18
871,2022-08-03,16,4,15,13,5,13,0,4,21,4,19
872,2022-08-04,16,2,19,10,12,14,0,5,20,6,11
873,2022-08-05,22,2,9,19,14,15,0,0,15,5,16
874,2022-08-06,12,3,8,5,8,11,0,1,24,4,15
875,2022-08-07,17,2,7,7,6,13,0,5,13,4,12
876,2022-08-08,10,2,6,9,6,5,0,5,13,3,12
877,2022-08-09,23,2,12,11,13,19,3,4,17,3,18
878,2022-08-10,14,4,12,11,9,13,3,2,17,3,19
879,2022-08-11,14,2,7,14,7,11,0,5,12,8,15
880,2022-08-12,17,0,12,9,7,19,0,4,14,5,14
881,2022-08-13,7,1,11,14,7,13,0,1,18,3,12
882,2022-08-14,8,1,11,10,7,10,0,1,8,5,13
883,2022-08-15,7,3,10,10,9,13,0,0,13,1,10
884,2022-08-16,11,3,9,8,9,11,2,2,5,1,13
885,2022-08-17,19,6,9,17,2,20,1,4,15,0,25
886,2022-08-18,15,5,7,15,7,9,0,2,13,2,8
887,2022-08-19,15,0,17,16,4,9,1,2,11,1,8
888,2022-08-20,13,1,9,10,5,10,0,3,13,0,15
889,2022-08-21,8,1,3,6,2,4,0,3,3,1,11
890,2022-08-22,8,1,4,9,6,14,1,10,9,3,7
891,2022-08-23,10,1,9,8,7,12,0,3,17,4,9
892,2022-08-24,11,1,5,11,11,6,0,2,11,3,6
893,2022-08-25,15,3,12,16,4,10,0,3,8,1,3
894,2022-08-26,8,1,10,9,7,8,1,1,15,6,7
895,2022-08-27,7,1,5,5,4,5,0,1,8,3,9
896,2022-08-28,18,2,4,6,2,5,2,0,2,2,4
897,2022-08-29,15,2,6,8,2,10,1,6,4,2,3
898,2022-08-30,8,0,7,7,4,7,1,2,10,5,10
899,2022-08-31,7,0,3,9,9,14,2,2,8,5,5
900,2022-09-01,9,2,7,7,5,7,0,1,11,5,8
901,2022-09-02,5,3,3,12,6,8,1,1,14,0,6
902,2022-09-03,11,1,5,10,6,5,0,2,8,3,7
903,2022-09-04,11,2,6,7,4,6,0,1,9,2,3
904,2022-09-05,9,1,6,6,3,9,1,5,6,5,3
905,2022-09-06,10,1,13,8,4,6,2,6,7,0,13
906,2022-09-07,17,0,10,4,6,6,1,3,11,6,6
907,2022-09-08,9,1,7,5,4,9,0,2,9,0,9
908,2022-09-09,10,0,6,10,1,8,2,3,8,5,5
909,2022-09-10,6,1,2,7,1,7,0,1,8,3,10
910,2022-09-11,5,0,5,5,1,3,5,1,6,3,7
911,2022-09-12,9,0,7,8,3,12,5,1,6,5,5
912,2022-09-13,6,3,8,8,5,5,0,1,11,2,8
913,2022-09-14,11,0,10,12,6,11,1,1,10,3,8
914,2022-09-15,11,1,4,8,4,8,1,3,4,2,9
915,2022-09-16,10,0,3,11,3,8,1,7,9,2,9
916,2022-09-17,8,1,5,6,3,5,1,2,8,1,5
917,2022-09-18,11,0,5,0,1,1,1,0,3,0,6
918,2022-09-19,8,1,5,5,1,8,1,2,5,2,5
919,2022-09-20,7,1,7,9,4,17,1,7,11,3,10
920,2022-09-21,14,1,7,5,7,10,2,2,11,2,9
921,2022-09-22,13,1,10,8,6,13,0,4,11,2,18
922,2022-09-23,8,0,8,13,0,9,0,0,12,0,16
923,2022-09-24,11,3,15,18,9,9,0,0,11,0,23
924,2022-09-25,11,1,5,8,0,3,0,2,3,2,11
925,2022-09-26,8,0,13,14,3,11,2,3,4,4,8
926,2022-09-27,6,1,7,18,2,28,0,5,14,4,17
927,2022-09-28,11,1,9,14,4,18,2,5,13,5,19
928,2022-09-29,13,1,9,18,14,8,1,9,15,6,8
929,2022-09-30,8,1,7,16,10,17,2,6,25,8,16
